iter	Passed	Remaining
0	143	143254
1	145	72838
2	148	49391
3	150	37497
4	152	30349
5	155	25696
6	156	22224
7	159	19724
8	161	17748
9	163	16204
10	167	15016
11	169	13914
12	170	12931
13	171	12108
14	172	11357
15	173	10693
16	176	10180
17	176	9655
18	177	9183
19	178	8752
20	180	8423
21	182	8109
22	184	7820
23	185	7542
24	187	7308
25	188	7062
26	189	6837
27	190	6625
28	192	6431
29	193	6251
30	194	6071
31	195	5909
32	197	5783
33	199	5657
34	200	5535
35	202	5415
36	204	5318
37	205	5208
38	207	5106
39	208	5005
40	209	4898
41	210	4810
42	212	4726
43	213	4640
44	214	4552
45	215	4463
46	215	4376
47	216	4293
48	217	4217
49	218	4147
50	219	4081
51	220	4016
52	221	3951
53	222	3891
54	222	3829
55	223	3771
56	224	3718
57	225	3668
58	226	3617
59	227	3563
60	228	3513
61	228	3464
62	229	3416
63	230	3369
64	231	3324
65	232	3285
66	232	3243
67	238	3268
68	244	3302
69	251	3341
70	252	3305
71	254	3286
72	262	3336
73	269	3370
74	273	3367
75	273	3330
76	279	3352
77	286	3390
78	294	3429
79	298	3437
80	306	3477
81	313	3506
82	314	3478
83	317	3457
84	323	3483
85	329	3501
86	334	3508
87	335	3474
88	342	3510
89	350	3539
90	355	3547
91	356	3514
92	356	3481
93	357	3448
94	359	3429
95	366	3450
96	373	3476
97	378	3481
98	379	3450
99	379	3419
100	380	3390
101	381	3360
102	382	3330
103	388	3348
104	395	3374
105	402	3394
106	403	3367
107	404	3338
108	405	3311
109	405	3284
110	410	3285
111	417	3309
112	424	3335
113	425	3308
114	426	3282
115	427	3257
116	428	3230
117	432	3234
118	438	3250
119	445	3266
120	448	3255
121	448	3229
122	449	3204
123	450	3179
124	450	3156
125	457	3172
126	462	3181
127	469	3201
128	470	3180
129	471	3157
130	472	3134
131	473	3113
132	479	3127
133	486	3141
134	493	3159
135	493	3137
136	494	3116
137	495	3095
138	496	3075
139	501	3077
140	508	3096
141	514	3110
142	516	3096
143	522	3106
144	529	3125
145	537	3142
146	544	3161
147	553	3188
148	558	3189
149	567	3214
150	577	3247
151	584	3260
152	599	3321
153	611	3358
154	621	3388
155	631	3415
156	642	3449
157	648	3458
158	657	3476
159	663	3483
160	667	3478
161	676	3498
162	683	3510
163	690	3521
164	704	3566
165	711	3572
166	726	3621
167	736	3648
168	747	3675
169	759	3708
170	767	3720
171	772	3720
172	782	3739
173	788	3741
174	793	3740
175	800	3748
176	808	3760
177	811	3747
178	817	3750
179	824	3755
180	829	3751
181	837	3762
182	843	3767
183	849	3768
184	853	3758
185	860	3764
186	866	3765
187	870	3759
188	875	3754
189	882	3761
190	888	3764
191	891	3749
192	897	3753
193	905	3761
194	911	3763
195	913	3746
196	921	3757
197	929	3763
198	932	3754
199	939	3757
200	947	3764
201	952	3762
202	958	3762
203	965	3767
204	973	3774
205	976	3762
206	983	3769
207	990	3772
208	993	3761
209	1002	3770
210	1010	3778
211	1014	3771
212	1020	3770
213	1028	3777
214	1035	3779
215	1038	3770
216	1045	3771
217	1051	3772
218	1055	3765
219	1058	3751
220	1065	3756
221	1073	3762
222	1075	3748
223	1081	3747
224	1089	3753
225	1096	3754
226	1097	3735
227	1101	3728
228	1107	3730
229	1114	3732
230	1117	3719
231	1121	3711
232	1126	3709
233	1133	3711
234	1138	3704
235	1138	3686
236	1139	3668
237	1145	3668
238	1151	3667
239	1158	3667
240	1160	3653
241	1160	3636
242	1161	3619
243	1167	3618
244	1174	3619
245	1181	3621
246	1182	3604
247	1183	3588
248	1184	3571
249	1184	3554
250	1191	3555
251	1198	3558
252	1204	3555
253	1205	3539
254	1211	3538
255	1218	3539
256	1225	3542
257	1226	3526
258	1227	3510
259	1232	3506
260	1240	3510
261	1247	3513
262	1248	3498
263	1255	3500
264	1262	3501
265	1267	3496
266	1269	3484
267	1277	3488
268	1284	3490
269	1288	3483
270	1289	3468
271	1290	3454
272	1291	3439
273	1292	3425
274	1293	3411
275	1295	3397
276	1297	3385
277	1298	3371
278	1299	3357
279	1300	3344
280	1301	3330
281	1303	3319
282	1306	3308
283	1308	3299
284	1311	3289
285	1313	3279
286	1315	3268
287	1317	3257
288	1319	3246
289	1321	3234
290	1325	3229
291	1336	3241
292	1344	3244
293	1352	3247
294	1359	3249
295	1366	3250
296	1374	3252
297	1381	3253
298	1386	3250
299	1389	3242
300	1391	3232
301	1397	3230
302	1401	3224
303	1405	3217
304	1406	3204
305	1407	3192
306	1409	3180
307	1410	3168
308	1411	3157
309	1413	3145
310	1420	3146
311	1427	3148
312	1432	3144
313	1434	3133
314	1437	3126
315	1445	3129
316	1454	3134
317	1456	3124
318	1458	3112
319	1459	3102
320	1462	3093
321	1464	3083
322	1466	3073
323	1467	3062
324	1469	3052
325	1471	3042
326	1473	3032
327	1475	3022
328	1477	3012
329	1478	3002
330	1480	2992
331	1482	2982
332	1484	2972
333	1486	2964
334	1493	2963
335	1494	2953
336	1495	2942
337	1497	2932
338	1514	2952
339	1519	2950
340	1531	2958
341	1536	2955
342	1538	2947
343	1541	2939
344	1544	2932
345	1546	2922
346	1566	2947
347	1573	2947
348	1575	2939
349	1579	2932
350	1580	2922
351	1583	2915
352	1586	2908
353	1589	2900
354	1590	2890
355	1592	2880
356	1594	2871
357	1595	2862
358	1598	2854
359	1601	2847
360	1603	2838
361	1604	2828
362	1606	2819
363	1608	2810
364	1612	2805
365	1615	2798
366	1619	2793
367	1636	2810
368	1637	2800
369	1638	2790
370	1640	2781
371	1641	2771
372	1643	2762
373	1645	2753
374	1646	2744
